ID,lesson_id,contenido_zh,Pinyin,traduccion_es,POS,grammar_ref,titulo_es_leccion
L1-0001,12.0,爱,ài,amar,V,G1.4 (Pronombres Interrogativos),¿Qué tiempo hará mañana?
L1-0002,0.0,爱好,àihào,pasatiempo,V/N,,Vocabulario General
L1-0003,0.0,八,bā,ocho,Num,,Vocabulario General
L1-0004,0.0,爸爸,bàba,papá,N,,Vocabulario General
L1-0004,0.0,爸,bà,papá,N,,Vocabulario General
L1-0005,13.0,吧,ba,partícula de sugerencia,Aux,G1.42 (Estado Progresivo - 在/正在) | G1.22 (Partícula Modal 吧),Él está aprendiendo a cocinar comida china
L1-0006,0.0,白,bái,blanco,Adj,,Vocabulario General
L1-0007,0.0,白天,báitiān,día,N,,Vocabulario General
L1-0008,1.1,百,bǎi,cien,Num,,Hola
L1-0009,8.0,班,bān,clase,N/M,G1.2 (Verbos Modales) | G1.46 (Preguntas con partículas de cantidad/lugar) | G1.8 (Clasificadores Nominales),Quiero beber té
L1-0010,0.0,半,bàn,mitad,Num,,Vocabulario General
L1-0011,0.0,半年,bàn nián,medio año,,,Vocabulario General
L1-0012,0.0,半天,bàntiān,medio día,,,Vocabulario General
L1-0013,0.0,帮,bāng,ayudar,V,,Vocabulario General
L1-0014,0.0,帮忙,bāngmáng,ayuda,,,Vocabulario General
L1-0015,10.0,包,bāo,bolso,N/M/V,G1.1 (Sustantivos de Posición) | G1.37 (Oraciones de Existencia - 有) | G1.2 (Verbos Modales) | G1.45 (Preguntas con 吗),¿Puedo sentarme aquí?
L1-0016,0.0,包子,bāozi,bollo al vapor,N,,Vocabulario General
L1-0017,0.0,杯,bēi,taza,M,,Vocabulario General
L1-0018,15.0,杯子,bēizi,vaso,N,G1.36 (Estructura de Énfasis 是...的),Vine en avión
L1-0019,0.0,北,běi,norte,N,,Vocabulario General
L1-0020,0.0,北边,běibian,lado norte,N,,Vocabulario General
L1-0021,11.0,北京,Běijīng,pekín,N,G1.44 (Expresión de Tiempo: Hora),¿Qué hora es ahora?
L1-0022,2.0,本,běn,libro,M,,Gracias
L1-0023,0.0,本子,běnzi,cuaderno,N,,Vocabulario General
L1-0024,1.1,比,bǐ,comparar,Prep/V,,Hola
L1-0025,0.0,别,bié,no,Adv,,Vocabulario General
L1-0026,0.0,别的,biéde,otros,Pron,,Vocabulario General
L1-0027,0.0,别人,biérén,otras personas,Pron,,Vocabulario General
L1-0028,0.0,病,bìng,enfermedad,N/V,,Vocabulario General
L1-0029,0.0,病人,bìngrén,paciente,N,,Vocabulario General
L1-0030,0.0,不大,bù dà,no muy,,,Vocabulario General
L1-0031,0.0,不对,bùduì,incorrecto,Adj,,Vocabulario General
L1-0032,2.0,不客气,bù kèqì,de nada,,,Gracias
L1-0033,0.0,不用,bùyòng,no es necesario,Adv,,Vocabulario General
L1-0034,1.1,不,bù,no,Adv,,Hola
L1-0035,0.0,菜,cài,verdura,N,,Vocabulario General
L1-0036,0.0,茶,chá,té,N,,Vocabulario General
L1-0037,0.0,差,chà,faltar,V/Adj,,Vocabulario General
L1-0038,0.0,常,cháng,a menudo,Adv,,Vocabulario General
L1-0039,0.0,常常,chángcháng,frecuentemente,Adv,,Vocabulario General
L1-0040,0.0,唱,chàng,cantar,V,,Vocabulario General
L1-0041,0.0,唱歌,chànggē,cantar canciones,,,Vocabulario General
L1-0042,5.0,车,chē,coche,N,G1.4 (Pronombres Interrogativos) | G1.46 (Preguntas con partículas de cantidad/lugar),Su hija tiene veinte años este año
L1-0043,0.0,车票,chēpiào,billete de autobús,N,,Vocabulario General
L1-0044,0.0,车上,chē shang,en el coche,,,Vocabulario General
L1-0045,6.0,车站,chēzhàn,estación,N,G1.2 (Verbos Modales),Sé hablar chino
L1-0046,8.0,吃,chī,comer,V,G1.2 (Verbos Modales) | G1.46 (Preguntas con partículas de cantidad/lugar) | G1.8 (Clasificadores Nominales),Quiero beber té
L1-0047,11.0,吃饭,chīfàn,comer,,G1.44 (Expresión de Tiempo: Hora),¿Qué hora es ahora?
L1-0048,6.0,出,chū,salir,V,G1.2 (Verbos Modales),Sé hablar chino
L1-0049,0.0,出来,chūlái,salir,,,Vocabulario General
L1-0050,0.0,出去,chūqù,salir,,,Vocabulario General
L1-0051,0.0,穿,chuān,ponerse (ropa),V,,Vocabulario General
L1-0052,0.0,床,chuáng,cama,N,,Vocabulario General
L1-0053,0.0,次,cì,clasificador para eventos,M,,Vocabulario General
L1-0054,5.0,从,cóng,desde,Prep,G1.4 (Pronombres Interrogativos) | G1.46 (Preguntas con partículas de cantidad/lugar),Su hija tiene veinte años este año
L1-0055,0.0,错,cuò,incorrecto / error,Adj/N,,Vocabulario General
L1-0056,13.0,打,dǎ,golpear / jugar (deportes),V,G1.42 (Estado Progresivo - 在/正在) | G1.22 (Partícula Modal 吧),Él está aprendiendo a cocinar comida china
L1-0057,0.0,打车,dǎchē,tomar un taxi,,,Vocabulario General
L1-0058,9.0,打电话,dǎ diànhuà,llamar por teléfono,,G1.4 (Pronombres Interrogativos) | G1.1 (Sustantivos de Posición),¿Dónde trabaja tu hijo?
L1-0059,0.0,打开,dǎkāi,abrir,,,Vocabulario General
L1-0060,0.0,打球,dǎ qiú,jugar a la pelota,,,Vocabulario General
L1-0061,2.0,大,dà,grande,Adj,,Gracias
L1-0062,0.0,大学,dàxué,universidad,N,,Vocabulario General
L1-0063,0.0,大学生,dàxuéshēng,estudiante universitario,N,,Vocabulario General
L1-0064,0.0,到,dào,llegar,V,,Vocabulario General
L1-0065,0.0,得到,dédào,obtener,,,Vocabulario General
L1-0066,5.0,地,de,partícula para adverbios,Aux,G1.4 (Pronombres Interrogativos) | G1.46 (Preguntas con partículas de cantidad/lugar),Su hija tiene veinte años este año
L1-0067,6.0,的,de,partícula posesiva,Aux,G1.2 (Verbos Modales),Sé hablar chino
L1-0068,0.0,等,děng,esperar,V,,Vocabulario General
L1-0069,5.0,地,dì,suelo / tierra,N,G1.4 (Pronombres Interrogativos) | G1.46 (Preguntas con partículas de cantidad/lugar),Su hija tiene veinte años este año
L1-0070,15.0,地点,dìdiǎn,lugar (sitio específico),N,G1.36 (Estructura de Énfasis 是...的),Vine en avión
L1-0071,0.0,地方,dìfang,lugar (en general),N,,Vocabulario General
L1-0072,0.0,地上,dìshang,en el suelo,,,Vocabulario General
L1-0073,0.0,地图,dìtú,mapa,N,,Vocabulario General
L1-0074,0.0,弟弟,dìdi,hermano menor,N,,Vocabulario General
L1-0074,0.0,弟,dì,hermano menor,N,,Vocabulario General
L1-0075,0.0,第,dì,prefijo ordinal,Prefix,,Vocabulario General
L1-0075,0.0,第二,dì-èr,segundo,Num,,Vocabulario General
L1-0076,1.1,点,diǎn,punto / gota / marcar / hora,M/V/N,,Hola
L1-0077,11.0,电,diàn,electricidad,N,G1.44 (Expresión de Tiempo: Hora),¿Qué hora es ahora?
L1-0078,13.0,电话,diànhuà,teléfono,N,G1.42 (Estado Progresivo - 在/正在) | G1.22 (Partícula Modal 吧),Él está aprendiendo a cocinar comida china
L1-0079,15.0,电脑,diànnǎo,computadora,N,G1.36 (Estructura de Énfasis 是...的),Vine en avión
L1-0080,13.0,电视,diànshì,televisión,N,G1.42 (Estado Progresivo - 在/正在) | G1.22 (Partícula Modal 吧),Él está aprendiendo a cocinar comida china
L1-0081,0.0,电视机,diànshìjī,televisor,N,,Vocabulario General
L1-0082,11.0,电影,diànyǐng,película,N,G1.44 (Expresión de Tiempo: Hora),¿Qué hora es ahora?
L1-0083,14.0,电影院,diànyǐngyuàn,cine,N,G1.41 (Estado Completo - 了) | G1.15 (Preposiciones de Tiempo/Lugar),Ella compró bastante ropa
L1-0084,6.0,东,dōng,este,N,G1.2 (Verbos Modales),Sé hablar chino
L1-0085,0.0,东边,dōngbian,lado este,N,,Vocabulario General
L1-0086,13.0,东西,dōngxi,cosa,N,G1.42 (Estado Progresivo - 在/正在) | G1.22 (Partícula Modal 吧),Él está aprendiendo a cocinar comida china
L1-0087,0.0,动,dòng,moverse,V,,Vocabulario General
L1-0088,0.0,动作,dòngzuò,movimiento / acción,N,,Vocabulario General
L1-0089,14.0,都,dōu,ambos / todo,Adv,G1.41 (Estado Completo - 了) | G1.15 (Preposiciones de Tiempo/Lugar),Ella compró bastante ropa
L1-0090,6.0,读,dú,leer,V,G1.2 (Verbos Modales),Sé hablar chino
L1-0091,0.0,读书,dúshū,estudiar,,,Vocabulario General
L1-0092,10.0,对,duì,correcto,Adj,G1.1 (Sustantivos de Posición) | G1.37 (Oraciones de Existencia - 有) | G1.2 (Verbos Modales) | G1.45 (Preguntas con 吗),¿Puedo sentarme aquí?
L1-0093,1.1,对不起,duìbuqǐ,perdón / disculparse,V,,Hola
L1-0094,5.0,多,duō,mucho / cuánto,Adj/Pron,G1.4 (Pronombres Interrogativos) | G1.46 (Preguntas con partículas de cantidad/lugar),Su hija tiene veinte años este año
